Lipids	Class	SubClass
CE 16:0	CE	CE
CE 18:0	CE	CE
CE 18:1	CE	CE
CE 18:2	CE	CE
CE 20:1	CE	CE
CE 20:2	CE	CE
CE 20:3	CE	CE
CE 20:4	CE	CE
CE 20:5	CE	CE
CE 22:5	CE	CE
CE 22:6	CE	CE
CE 24:4	CE	CE
CE 24:5	CE	CE
Cer d18:0/16:0	Cer	Cer
Cer d18:0/22:0	Cer	Cer
Cer d18:0/24:0	Cer	Cer
Cer d18:0/24:1	Cer	Cer
Cer d18:1/16:0	Cer	Cer
Cer d18:1/18:0	Cer	Cer
Cer d18:1/20:0	Cer	Cer
Cer d18:1/22:0	Cer	Cer
Cer d18:1/24:0	Cer	Cer
Cer d18:1/24:1	Cer	Cer
Cer d18:2/16:0	Cer	Cer
Cer d18:2/22:0	Cer	Cer
Cer d18:2/24:1	Cer	Cer
DG 14:0_18:1 [-18:1]	DG	DG
DG 16:0_18:1 [-16:0]	DG	DG
DG 16:0_18:2 [-16:0]	DG	DG
DG 16:0_20:3 [-20:3]	DG	DG
DG 16:0_20:4 [-20:4]	DG	DG
DG 16:0_22:5 (a) [-22:5]	DG	DG
DG 16:0_22:6 [-22:6]	DG	DG
DG 16:1_18:1 [-16:1]	DG	DG
DG 18:0_18:1 [-18:0]	DG	DG
DG 18:0_18:2 [-18:0]	DG	DG
DG 18:1_18:1 [-18:1]	DG	DG
DG 18:1_18:2 [-18:1]	DG	DG
DG 18:1_18:3 [-18:3]	DG	DG
DG 18:1_20:0 [-18:1]	DG	DG
DG 18:1_20:3 [-20:3]	DG	DG
DG 18:1_20:4 [-20:4]	DG	DG
DG 18:2_18:2 [-18:2]	DG	DG
DG 18:2_20:3 [-20:3]	DG	DG
GM3 d18:1/16:0 [264]	GM3	GM3
Hex2Cer d18:1/16:0 [264]	HCer	Hex2Cer
Hex2Cer d18:1/22:0 [264]	HCer	Hex2Cer
Hex2Cer d18:1/24:0 [264]	HCer	Hex2Cer
Hex2Cer d18:1/24:1 [264]	HCer	Hex2Cer
Hex3Cer d18:1/16:0 [264]	HCer	Hex3Cer
Hex3Cer d18:1/24:0 [264]	HCer	Hex3Cer
Hex3Cer d18:1/24:1 [264]	HCer	Hex3Cer
HexCer d18:1/18:0 [264]	HCer	HexCer
HexCer d18:1/20:0 [264]	HCer	HexCer
HexCer d18:1/22:0 [264]	HCer	HexCer
HexCer d18:1/24:0 [264]	HCer	HexCer
HexCer d18:1/24:1 [264]	HCer	HexCer
LPC 14:0 (a)	LPC	LPC
LPC 14:0 (b)	LPC	LPC
LPC 15:0 (a)	LPC	LPC
LPC 15:0 (b)	LPC	LPC
LPC 16:0 (a)	LPC	LPC
LPC 16:0 (b)	LPC	LPC
LPC 16:1 (a)	LPC	LPC
LPC 16:1 (b)	LPC	LPC
LPC 17:0 (a)	LPC	LPC
LPC 17:0 (b)	LPC	LPC
LPC 17:1 (a)	LPC	LPC
LPC 17:1 (b)	LPC	LPC
LPC 17:1 (c)	LPC	LPC
LPC 18:0 (a)	LPC	LPC
LPC 18:0 (b)	LPC	LPC
LPC 18:1 (a)	LPC	LPC
LPC 18:1 (b)	LPC	LPC
LPC 18:2 (a)	LPC	LPC
LPC 18:2 (b)	LPC	LPC
LPC 18:3 (a)	LPC	LPC
LPC 18:3 (b)	LPC	LPC
LPC 20:0 (a)	LPC	LPC
LPC 20:0 (b)	LPC	LPC
LPC 20:1 (a)	LPC	LPC
LPC 20:1 (b)	LPC	LPC
LPC 20:2 (a)	LPC	LPC
LPC 20:2 (b)	LPC	LPC
LPC 20:3 (a)	LPC	LPC
LPC 20:3 (b)	LPC	LPC
LPC 20:4 (a)	LPC	LPC
LPC 20:4 (b)	LPC	LPC
LPC 20:5 (a)	LPC	LPC
LPC 20:5 (b)	LPC	LPC
LPC 22:0 (a)	LPC	LPC
LPC 22:0 (b)	LPC	LPC
LPC 22:1 (a)	LPC	LPC
LPC 22:1 (b)	LPC	LPC
LPC 22:5 (a)	LPC	LPC
LPC 22:5 (b)	LPC	LPC
LPC 22:6 (a)	LPC	LPC
LPC 22:6 (b)	LPC	LPC
