Molecule List Name,Precursor Name,ProductName,Precursor m/z,Product m/z,Explicit Retention Time,Explicit Retention Time Window,Explicit Declustering Potential,Explicit Collision Energy,Precursor Charge,Product  Charge,PrecursorAdduct
CE,CE 14:0,-FA 14:0(+HO)-Cholesterol(35),614.5871,369.3516,11.60,1,380,10,1,1,[M+NH4]1+
CE,CE 15:0,-FA 15:0(+HO)-Cholesterol(35),628.6027,369.3516,11.70,1,380,10,1,1,[M+NH4]1+
CE,CE 16:0,-FA 16:0(+HO)-Cholesterol(35),642.6184,369.3516,11.90,1,380,10,1,1,[M+NH4]1+
CE,CE 16:1,#NAME?,640.6027,369.3516,11.44,1,380,10,1,1,[M+NH4]1+
CE,CE 16:2,#NAME?,638.5871,369.3516,11.25,1,380,10,1,1,[M+NH4]1+
CE,CE 17:0,-FA 17:0(+HO)-Cholesterol(35),656.6340,369.3516,12.00,1,380,10,1,1,[M+NH4]1+
CE,CE 17:1,#NAME?,654.6184,369.3516,11.60,1,380,10,1,1,[M+NH4]1+
CE,CE 18:0,-FA 18:0(+HO)-Cholesterol(35),670.6497,369.3516,12.10,1,380,10,1,1,[M+NH4]1+
CE,CE 18:1,#NAME?,668.6340,369.3516,11.88,1,380,10,1,1,[M+NH4]1+
ChE,CE 18:1-d7 (ISTD),-FA 18:1(+HO)-Cholesterol(35),675.6779,369.3516,11.88,1,380,10,1,1,[M+NH4]1+
CE,CE 18:2,#NAME?,666.6184,369.3516,11.65,1,380,10,1,1,[M+NH4]1+
CE,CE 18:3,#NAME?,664.6027,369.3516,11.43,1,380,10,1,1,[M+NH4]1+
CE,CE 20:1,#NAME?,696.6653,369.3516,12.10,1,380,10,1,1,[M+NH4]1+
CE,CE 20:2,#NAME?,694.6497,369.3516,11.90,1,380,10,1,1,[M+NH4]1+
CE,CE 20:3,#NAME?,692.6340,369.3516,11.68,1,380,10,1,1,[M+NH4]1+
CE,CE 20:4,#NAME?,690.6184,369.3516,11.53,1,380,10,1,1,[M+NH4]1+
CE,CE 20:5,#NAME?,688.6027,369.3516,11.30,1,380,10,1,1,[M+NH4]1+
CE,CE 22:0,-FA 22:0(+HO)-Cholesterol(35),726.7123,369.3516,12.50,1,380,10,1,1,[M+NH4]1+
CE,CE 22:1,#NAME?,724.6966,369.3516,12.30,1,380,10,1,1,[M+NH4]1+
CE,CE 22:4,#NAME?,718.6497,369.3516,11.72,1,380,10,1,1,[M+NH4]1+
CE,CE 22:5,#NAME?,716.6340,369.3516,11.59,1,380,10,1,1,[M+NH4]1+
CE,CE 22:6,#NAME?,714.6184,369.3516,11.40,1,380,10,1,1,[M+NH4]1+
CE,CE 24:0,-FA 24:0(+HO)-Cholesterol(35),754.7436,369.3516,12.70,1,380,10,1,1,[M+NH4]1+
CE,CE 24:1,#NAME?,752.7279,369.3516,12.50,1,380,10,1,1,[M+NH4]1+
CE,CE 24:4,#NAME?,746.6810,369.3516,11.97,1,380,10,1,1,[M+NH4]1+
CE,CE 24:5,#NAME?,744.6653,369.3516,11.77,1,380,10,1,1,[M+NH4]1+
CE,CE 24:6,#NAME?,742.6497,369.3516,11.59,1,380,10,1,1,[M+NH4]1+
dhCer,Cer d18:0/16:0,LCB 18:0;2(-HO),540.5350,284.2948,8.30,1.6,380,27,1,1,[M+H]1+
dhCer,Cer d18:0/18:0,LCB 18:0;2(-HO),568.5663,284.2948,9.70,1.2,380,27,1,1,[M+H]1+
dhCer,Cer d18:0/20:0,LCB 18:0;2(-HO),596.5976,284.2948,10.20,1,380,27,1,1,[M+H]1+
dhCer,Cer d18:0/22:0,LCB 18:0;2(-HO),624.6289,284.2948,10.36,1,380,27,1,1,[M+H]1+
dhCer,Cer d18:0/24:0,LCB 18:0;2(-HO),652.6602,284.2948,10.58,1,380,27,1,1,[M+H]1+
dhCer,Cer d18:0/24:1,LCB 18:0;2(-HO),650.6446,284.2948,10.37,1,380,27,1,1,[M+H]1+
Cer,Cer d18:0/8:0,LCB 18:0;2(-HO),428.4098,284.2948,6.00,2,380,27,1,1,[M+H]1+
Cer,Cer d18:0/8:0,LCB 18:0;2(-H3O2),428.4098,266.2842,6.00,2,380,27,1,1,[M+H]1+
Cer,Cer d18:0/8:0,LCB 18:0;2(-CH3O2),428.4098,254.2842,6.00,2,380,27,1,1,[M+H]1+
Cer 18:1,Cer d18:1/16:0,LCB 18:1;2(-H3O2),538.5194,264.2686,8.05,1,380,25,1,1,[M+H]1+
Cer 18:1,Cer d18:1/16:0,"-(H2O,18)",538.5194,520.5088,8.05,1,380,25,1,1,[M+H]1+
Cer 18:1,Cer d18:1/16:0,LCB 18:1;2(-HO),538.5194,282.2791,8.05,1,380,25,1,1,[M+H]1+
Cer 18:1,Cer d18:1/16:0,LCB 18:1;2(-CH3O2),538.5194,252.2686,8.05,1,380,25,1,1,[M+H]1+
Cer 18:1,Cer d18:1/16:0,LCB 18:1;2(-H3O2),520.5088,264.2686,8.05,1,380,25,1,1,[M+H]1+
Cer,Cer d18:1/16:0-d31 (ISTD),"-(H2O,18)",569.7140,551.7034,8.05,1,380,25,1,1,[M+H]1+
Cer,Cer d18:1/16:0-d31 (ISTD),LCB 18:1;2(-HO),569.7140,282.2791,8.05,1,380,25,1,1,[M+H]1+
Cer,Cer d18:1/16:0-d31 (ISTD),LCB 18:1;2(-H3O2),569.7140,264.2686,8.05,1,380,25,1,1,[M+H]1+
Cer,Cer d18:1/16:0-d31 (ISTD),LCB 18:1;2(-CH3O2),569.7140,252.2686,8.05,1,380,25,1,1,[M+H]1+
Cer 18:1,Cer d18:1/18:0,LCB 18:1;2(-H3O2),566.5507,264.2686,9.35,1,380,25,1,1,[M+H]1+
Cer 18:1,Cer d18:1/20:0,LCB 18:1;2(-H3O2),594.5820,264.2686,10.13,1,380,25,1,1,[M+H]1+
Cer 18:1,Cer d18:1/22:0,LCB 18:1;2(-H3O2),622.6133,264.2686,10.30,1,380,25,1,1,[M+H]1+
Cer 18:1,Cer d18:1/24:0,LCB 18:1;2(-H3O2),650.6446,264.2686,10.49,1,380,25,1,1,[M+H]1+
Cer 18:1,Cer d18:1/24:0,"-(H2O,18)",650.6446,632.6340,10.49,1,380,25,1,1,[M+H]1+
Cer 18:1,Cer d18:1/24:0,LCB 18:1;2(-HO),650.6446,282.2791,10.49,1,380,25,1,1,[M+H]1+
Cer 18:1,Cer d18:1/24:0,LCB 18:1;2(-CH3O2),650.6446,252.2686,10.49,1,380,25,1,1,[M+H]1+
Cer 18:1,Cer d18:1/24:0,LCB 18:1;2(-H3O2),632.6340,264.2686,10.49,1,380,25,1,1,[M+H]1+
Cer 18:1,Cer d18:1/24:1,LCB 18:1;2(-H3O2),648.6289,264.2686,10.32,1,380,25,1,1,[M+H]1+
COH,COH [161],#NAME?,404.3887,369.3516,6.63,1,380,19,1,1,[M+NH4]1+
Ch,COH-d7 [161],-Cholesterol(35),411.4326,376.3955,6.63,1,380,19,1,1,[M+NH4]1+
DG,DG 14:0_16:0 [NL-14:0],-FA 14:0(-H)-(H2O+NH3),558.5092,313.2737,9.05,1.4,380,25,1,1,[M+NH4]1+
DG,DG 14:0_16:0 [NL-16:0],-FA 16:0(-H)-(H2O+NH3),558.5092,285.2424,9.05,1.4,380,25,1,1,[M+NH4]1+
DG,DG 14:0_16:1 [NL-14:0],-FA 14:0(-H)-(H2O+NH3),556.4936,311.2581,8.80,1.4,380,25,1,1,[M+NH4]1+
DG,DG 14:0_16:1 [NL-16:1],#NAME?,556.4936,285.2424,8.80,1.4,380,25,1,1,[M+NH4]1+
DG,DG 14:0_18:0 [NL-14:0],-FA 14:0(-H)-(H2O+NH3),586.5405,341.3050,10.09,1.4,380,25,1,1,[M+NH4]1+
DG,DG 14:0_18:0 [NL-18:0],-FA 18:0(-H)-(H2O+NH3),586.5405,285.2424,10.09,1.4,380,25,1,1,[M+NH4]1+
DG,DG 14:0_18:1 [NL-14:0],-FA 14:0(-H)-(H2O+NH3),584.5249,339.2894,9.03,1.4,380,25,1,1,[M+NH4]1+
DG,DG 14:0_18:1 [NL-18:1],#NAME?,584.5249,285.2424,9.03,1.4,380,25,1,1,[M+NH4]1+
DG,DG 14:0_18:2 [NL-14:0],-FA 14:0(-H)-(H2O+NH3),582.5092,337.2737,8.16,1.4,380,25,1,1,[M+NH4]1+
DG,DG 14:0_18:2 [NL-18:2],#NAME?,582.5092,285.2424,8.16,1.4,380,25,1,1,[M+NH4]1+
DG,DG 14:1_20:0 [NL-20:0],-FA 20:0(-H)-(H2O+NH3),612.5562,283.2268,10.00,1.4,380,25,1,1,[M+NH4]1+
DG,DG 15:0_18:1-d7 [NL-15:0],-FA 15:0(-H)-(H2O+NH3),605.5844,346.3333,9.50,2,380,25,1,1,[M+NH4]1+
DG,DG 15:0_18:1-d7 [NL-18:1],-FA 18:1(-H)-(H2O+NH3),605.5844,299.2581,9.50,2,380,25,1,1,[M+NH4]1+
DG,DG 16:0_16:0 [NL-16:0],-FA 16:0(-H)-(H2O+NH3),586.5405,313.2737,10.09,1.4,380,25,1,1,[M+NH4]1+
DG,DG 16:0_16:1 [NL-16:0],-FA 16:0(-H)-(H2O+NH3),584.5249,311.2581,9.03,1.4,380,25,1,1,[M+NH4]1+
DG,DG 16:0_16:1 [NL-16:1],#NAME?,584.5249,313.2737,9.03,1.4,380,25,1,1,[M+NH4]1+
DG,DG 16:0_18:0 [NL-16:0],-FA 16:0(-H)-(H2O+NH3),614.5718,341.3050,10.50,1.4,380,25,1,1,[M+NH4]1+
