Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Data Transformation Name	Protocol REF	Metabolite Assignment File
1_LTR_1_A-1	Extraction			1_LTR_1_A-1	Chromatography	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Agilent 1290 Infinity II Multisampler	ZORBAX RRHD Eclipse Plus C18 95 Å (1.8 µm, 2.1 mm x 100 mm; Agilent Technologies)	reverse phase						Mass spectrometry	positive	50 - 1500	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	1_LTR_1_A-1	1_LTR_1_A-1.d	Data transformation		1_LTR_1_A-1.mzML		Metabolite identification	m_MTBLS1375_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
2_LTR_1_A-2	Extraction			2_LTR_1_A-2	Chromatography	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Agilent 1290 Infinity II Multisampler	ZORBAX RRHD Eclipse Plus C18 95 Å (1.8 µm, 2.1 mm x 100 mm; Agilent Technologies)	reverse phase						Mass spectrometry	positive	50 - 1500	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	2_LTR_1_A-2	2_LTR_1_A-2.d	Data transformation		2_LTR_1_A-2.mzML		Metabolite identification	m_MTBLS1375_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
3_LTR_2_A-1	Extraction			3_LTR_2_A-1	Chromatography	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Agilent 1290 Infinity II Multisampler	ZORBAX RRHD Eclipse Plus C18 95 Å (1.8 µm, 2.1 mm x 100 mm; Agilent Technologies)	reverse phase						Mass spectrometry	positive	50 - 1500	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	3_LTR_2_A-1	3_LTR_2_A-1.d	Data transformation		3_LTR_2_A-1.mzML		Metabolite identification	m_MTBLS1375_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
4_LTR_2_A-2	Extraction			4_LTR_2_A-2	Chromatography	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Agilent 1290 Infinity II Multisampler	ZORBAX RRHD Eclipse Plus C18 95 Å (1.8 µm, 2.1 mm x 100 mm; Agilent Technologies)	reverse phase						Mass spectrometry	positive	50 - 1500	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	4_LTR_2_A-2	4_LTR_2_A-2.d	Data transformation		4_LTR_2_A-2.mzML		Metabolite identification	m_MTBLS1375_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
5_NIST_A-1	Extraction			5_NIST_A-1	Chromatography	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Agilent 1290 Infinity II Multisampler	ZORBAX RRHD Eclipse Plus C18 95 Å (1.8 µm, 2.1 mm x 100 mm; Agilent Technologies)	reverse phase						Mass spectrometry	positive	50 - 1500	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	5_NIST_A-1	5_NIST_A-1.d	Data transformation		5_NIST_A-1.mzML	LipidCreatorVal_QC-filtered_SAMPLES-NIST_uM_04022020v2.csv	Metabolite identification	m_MTBLS1375_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
6_NIST_A-2	Extraction			6_NIST_A-2	Chromatography	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Agilent 1290 Infinity II Multisampler	ZORBAX RRHD Eclipse Plus C18 95 Å (1.8 µm, 2.1 mm x 100 mm; Agilent Technologies)	reverse phase						Mass spectrometry	positive	50 - 1500	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	6_NIST_A-2	6_NIST_A-2.d	Data transformation		6_NIST_A-2.mzML	LipidCreatorVal_QC-filtered_SAMPLES-NIST_uM_04022020v2.csv	Metabolite identification	m_MTBLS1375_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
7_TQC_A-1	Extraction			7_TQC_A-1	Chromatography	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Agilent 1290 Infinity II Multisampler	ZORBAX RRHD Eclipse Plus C18 95 Å (1.8 µm, 2.1 mm x 100 mm; Agilent Technologies)	reverse phase						Mass spectrometry	positive	50 - 1500	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	7_TQC_A-1	7_TQC_A-1.d	Data transformation		7_TQC_A-1.mzML		Metabolite identification	m_MTBLS1375_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
8_TQC_A-2	Extraction			8_TQC_A-2	Chromatography	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Agilent 1290 Infinity II Multisampler	ZORBAX RRHD Eclipse Plus C18 95 Å (1.8 µm, 2.1 mm x 100 mm; Agilent Technologies)	reverse phase						Mass spectrometry	positive	50 - 1500	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	8_TQC_A-2	8_TQC_A-2.d	Data transformation		8_TQC_A-2.mzML		Metabolite identification	m_MTBLS1375_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
9_BQC_1_A-1	Extraction			9_BQC_1_A-1	Chromatography	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Agilent 1290 Infinity II Multisampler	ZORBAX RRHD Eclipse Plus C18 95 Å (1.8 µm, 2.1 mm x 100 mm; Agilent Technologies)	reverse phase						Mass spectrometry	positive	50 - 1500	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	9_BQC_1_A-1	9_BQC_1_A-1.d	Data transformation		9_BQC_1_A-1.mzML		Metabolite identification	m_MTBLS1375_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
10_BQC_1_A-2	Extraction			10_BQC_1_A-2	Chromatography	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Agilent 1290 Infinity II Multisampler	ZORBAX RRHD Eclipse Plus C18 95 Å (1.8 µm, 2.1 mm x 100 mm; Agilent Technologies)	reverse phase						Mass spectrometry	positive	50 - 1500	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	10_BQC_1_A-2	10_BQC_1_A-2.d	Data transformation		10_BQC_1_A-2.mzML		Metabolite identification	m_MTBLS1375_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
11_PLASMA_H002_A-1	Extraction			11_PLASMA_H002_A-1	Chromatography	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Agilent 1290 Infinity II Multisampler	ZORBAX RRHD Eclipse Plus C18 95 Å (1.8 µm, 2.1 mm x 100 mm; Agilent Technologies)	reverse phase						Mass spectrometry	positive	50 - 1500	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	11_PLASMA_H002_A-1	11_PLASMA_H002_A-1.d	Data transformation		11_PLASMA_H002_A-1.mzML	LipidCreatorVal_QC-filtered_SAMPLES-NIST_uM_04022020v2.csv	Metabolite identification	m_MTBLS1375_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
12_PLASMA_H002_A-2	Extraction			12_PLASMA_H002_A-2	Chromatography	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Agilent 1290 Infinity II Multisampler	ZORBAX RRHD Eclipse Plus C18 95 Å (1.8 µm, 2.1 mm x 100 mm; Agilent Technologies)	reverse phase						Mass spectrometry	positive	50 - 1500	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	12_PLASMA_H002_A-2	12_PLASMA_H002_A-2.d	Data transformation		12_PLASMA_H002_A-2.mzML	LipidCreatorVal_QC-filtered_SAMPLES-NIST_uM_04022020v2.csv	Metabolite identification	m_MTBLS1375_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
13_PLASMA_H008_A-1	Extraction			13_PLASMA_H008_A-1	Chromatography	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Agilent 1290 Infinity II Multisampler	ZORBAX RRHD Eclipse Plus C18 95 Å (1.8 µm, 2.1 mm x 100 mm; Agilent Technologies)	reverse phase						Mass spectrometry	positive	50 - 1500	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	13_PLASMA_H008_A-1	13_PLASMA_H008_A-1.d	Data transformation		13_PLASMA_H008_A-1.mzML	LipidCreatorVal_QC-filtered_SAMPLES-NIST_uM_04022020v2.csv	Metabolite identification	m_MTBLS1375_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
14_PLASMA_H008_A-2	Extraction			14_PLASMA_H008_A-2	Chromatography	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Agilent 1290 Infinity II Multisampler	ZORBAX RRHD Eclipse Plus C18 95 Å (1.8 µm, 2.1 mm x 100 mm; Agilent Technologies)	reverse phase						Mass spectrometry	positive	50 - 1500	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	14_PLASMA_H008_A-2	14_PLASMA_H008_A-2.d	Data transformation		14_PLASMA_H008_A-2.mzML	LipidCreatorVal_QC-filtered_SAMPLES-NIST_uM_04022020v2.csv	Metabolite identification	m_MTBLS1375_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
15_PLASMA_H010_A-1	Extraction			15_PLASMA_H010_A-1	Chromatography	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Agilent 1290 Infinity II Multisampler	ZORBAX RRHD Eclipse Plus C18 95 Å (1.8 µm, 2.1 mm x 100 mm; Agilent Technologies)	reverse phase						Mass spectrometry	positive	50 - 1500	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	15_PLASMA_H010_A-1	15_PLASMA_H010_A-1.d	Data transformation		15_PLASMA_H010_A-1.mzML	LipidCreatorVal_QC-filtered_SAMPLES-NIST_uM_04022020v2.csv	Metabolite identification	m_MTBLS1375_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
16_PLASMA_H010_A-2	Extraction			16_PLASMA_H010_A-2	Chromatography	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Agilent 1290 Infinity II Multisampler	ZORBAX RRHD Eclipse Plus C18 95 Å (1.8 µm, 2.1 mm x 100 mm; Agilent Technologies)	reverse phase						Mass spectrometry	positive	50 - 1500	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	16_PLASMA_H010_A-2	16_PLASMA_H010_A-2.d	Data transformation		16_PLASMA_H010_A-2.mzML	LipidCreatorVal_QC-filtered_SAMPLES-NIST_uM_04022020v2.csv	Metabolite identification	m_MTBLS1375_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
17_PLASMA_H012_A-1	Extraction			17_PLASMA_H012_A-1	Chromatography	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Agilent 1290 Infinity II Multisampler	ZORBAX RRHD Eclipse Plus C18 95 Å (1.8 µm, 2.1 mm x 100 mm; Agilent Technologies)	reverse phase						Mass spectrometry	positive	50 - 1500	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	17_PLASMA_H012_A-1	17_PLASMA_H012_A-1.d	Data transformation		17_PLASMA_H012_A-1.mzML	LipidCreatorVal_QC-filtered_SAMPLES-NIST_uM_04022020v2.csv	Metabolite identification	m_MTBLS1375_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
18_PLASMA_H012_A-2	Extraction			18_PLASMA_H012_A-2	Chromatography	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Agilent 1290 Infinity II Multisampler	ZORBAX RRHD Eclipse Plus C18 95 Å (1.8 µm, 2.1 mm x 100 mm; Agilent Technologies)	reverse phase						Mass spectrometry	positive	50 - 1500	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	18_PLASMA_H012_A-2	18_PLASMA_H012_A-2.d	Data transformation		18_PLASMA_H012_A-2.mzML	LipidCreatorVal_QC-filtered_SAMPLES-NIST_uM_04022020v2.csv	Metabolite identification	m_MTBLS1375_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
19_BQC_2_A-1	Extraction			19_BQC_2_A-1	Chromatography	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Agilent 1290 Infinity II Multisampler	ZORBAX RRHD Eclipse Plus C18 95 Å (1.8 µm, 2.1 mm x 100 mm; Agilent Technologies)	reverse phase						Mass spectrometry	positive	50 - 1500	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	19_BQC_2_A-1	19_BQC_2_A-1.d	Data transformation		19_BQC_2_A-1.mzML		Metabolite identification	m_MTBLS1375_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
20_BQC_2_A-2	Extraction			20_BQC_2_A-2	Chromatography	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Agilent 1290 Infinity II Multisampler	ZORBAX RRHD Eclipse Plus C18 95 Å (1.8 µm, 2.1 mm x 100 mm; Agilent Technologies)	reverse phase						Mass spectrometry	positive	50 - 1500	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	20_BQC_2_A-2	20_BQC_2_A-2.d	Data transformation		20_BQC_2_A-2.mzML		Metabolite identification	m_MTBLS1375_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
21_PLASMA_H018_A-1	Extraction			21_PLASMA_H018_A-1	Chromatography	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Agilent 1290 Infinity II Multisampler	ZORBAX RRHD Eclipse Plus C18 95 Å (1.8 µm, 2.1 mm x 100 mm; Agilent Technologies)	reverse phase						Mass spectrometry	positive	50 - 1500	Agilent 6495A Triple Quadrupole	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	21_PLASMA_H018_A-1	21_PLASMA_H018_A-1.d	Data transformation		21_PLASMA_H018_A-1.mzML	LipidCreatorVal_QC-filtered_SAMPLES-NIST_uM_04022020v2.csv	Metabolite identification	m_MTBLS1375_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
