database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	SwissLipid_identifier	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	5_NIST_A-1	6_NIST_A-2	11_PLASMA_H002_A-1	12_PLASMA_H002_A-2	13_PLASMA_H008_A-1	14_PLASMA_H008_A-2	15_PLASMA_H010_A-1	16_PLASMA_H010_A-2	17_PLASMA_H012_A-1	18_PLASMA_H012_A-2	21_PLASMA_H018_A-1	22_PLASMA_H018_A-2	23_PLASMA_H041_A-1	24_PLASMA_H041_A-2	25_PLASMA_H042_A-1	26_PLASMA_H042_A-2	27_PLASMA_H043_A-1	28_PLASMA_H043_A-2	31_PLASMA_H044_A-1	32_PLASMA_H044_A-2	33_PLASMA_H047_A-1	34_PLASMA_H047_A-2	39_PLASMA_H048_A-1	40_PLASMA_H048_A-2	41_PLASMA_H049_A-1	42_PLASMA_H049_A-2	43_PLASMA_H050_A-1	44_PLASMA_H050_A-2	45_PLASMA_H051_A-1	46_PLASMA_H051_A-2	49_PLASMA_H052_A-1	50_PLASMA_H052_A-2	51_PLASMA_H053_A-1	52_PLASMA_H053_A-2	53_PLASMA_H055_A-1	54_PLASMA_H055_A-2	55_PLASMA_H056_A-1	56_PLASMA_H056_A-2	60_PLASMA_H057_A-2	61_PLASMA_H058_A-1	62_PLASMA_H058_A-2	63_PLASMA_H059_A-1	64_PLASMA_H059_A-2	65_PLASMA_H060_A-1	66_PLASMA_H060_A-2	73_NIST_B-1	74_NIST_B-2	79_PLASMA_H002_B-1	82_PLASMA_H008_B-2	83_PLASMA_H010_B-1	84_PLASMA_H010_B-2	85_PLASMA_H012_B-1	86_PLASMA_H012_B-2	90_PLASMA_H018_B-2	91_PLASMA_H041_B-1	92_PLASMA_H041_B-2	93_PLASMA_H042_B-1	94_PLASMA_H042_B-2	95_PLASMA_H043_B-1	96_PLASMA_H043_B-2	99_PLASMA_H044_B-1	100_PLASMA_H044_B-2	101_PLASMA_H047_B-1	102_PLASMA_H047_B-2	107_PLASMA_H048_B-1	108_PLASMA_H048_B-2	109_PLASMA_H049_B-1	110_PLASMA_H049_B-2	111_PLASMA_H050_B-1	112_PLASMA_H050_B-2	113_PLASMA_H051_B-1	114_PLASMA_H051_B-2	117_PLASMA_H052_B-1	118_PLASMA_H052_B-2	119_PLASMA_H053_B-1	120_PLASMA_H053_B-2	121_PLASMA_H055_B-1	122_PLASMA_H055_B-2	123_PLASMA_H056_B-1	124_PLASMA_H056_B-2	127_PLASMA_H057_B-1	128_PLASMA_H057_B-2	129_PLASMA_H058_B-1	130_PLASMA_H058_B-2	131_PLASMA_H059_B-1	132_PLASMA_H059_B-2	133_PLASMA_H060_B-1	134_PLASMA_H060_B-2
				CE 16:1	640.6027	369.3516|-FA 16:1(+HO)-Cholesterol(35)	[M+NH4]1+	1	11.44			SwissLipids	2020/04/02	MSI:2				SLM:000500345	60000.52272727273	25727.358872884524	2742.545670818425	110460	103851	32286	35076	99603	116889	50779	50585	51521	31666	36692	42786	41619	25028	36647	50585	68904	76404	50447	38951	62138	55981	41289	38525	55038	53924	64042	60640	66659	81631	47095	43106	31149	28820	45178	44275	60122	50309	16397	38392	46359	55552	63527	52483	64152	106913	126300	28020	107764	53790	48226	37389	29724	37981	55149	61520	105351	86478	80862	74300	50039	54702	84809	40011	48115	58293	90257	86639	122688	129134	77171	81896	69121	72627	20592	18130	47411	47995	82292	79372	25328	30279	70816	68852	59656	70987	68674	66831
				CE 16:2	638.5871	369.3516|-FA 16:2(+HO)-Cholesterol(35)	[M+NH4]1+	1	11.25			SwissLipids	2020/04/02	MSI:2				SLM:000500344	2746.681818181818	979.750654948757	104.44177074247673	3543	3685	1801	1702	4057	4101	1823	2959	3479	2667	2308	1863	1546	1110	1817	3235	2247	2571	2220	2789	2053	3004	1467	1689	1980	2338	2963	3131	3157	3356	2019	2190	1572	1951	1547	1442	1941	2219	1262	2445	2179	2615	3349	2772	2997	4388	4048	1697	3357	2202	2178	3162	2235	2181	2056	2039	4963	4653	2826	3426	2799	2694	4482	2260	1932	2090	4084	3902	5345	5377	3456	3950	2770	3835	1358	1370	1728	1596	2895	2831	2681	1982	4118	3903	3679	3487	3214	3318
				CE 17:0	656.634	369.3516|-FA 17:0(+HO)-Cholesterol(35)	[M+NH4]1+	1	12			SwissLipids	2020/04/02	MSI:2				SLM:000500347	5194.556818181818	1874.2667768376987	199.7975097316592	6316	5189	7634	7318	5946	6734	6334	5886	8690	5146	7130	7990	2314	1392	2786	3312	3993	4094	4436	4410	4448	4021	3171	3856	2459	2565	2459	2168	3852	6016	3681	4553	4058	4297	2711	2490	4698	3090	2698	2806	3077	5938	6811	5314	7288	7429	7237	6872	5319	5473	5683	6386	5312	6648	4062	4655	6619	6677	6235	5513	5369	5916	5188	2648	5150	5747	5128	4983	4386	5159	5742	6198	7830	6632	1733	2249	3048	3429	5904	5777	8537	8692	6237	6823	8150	9984	8457	6330
				CE 17:1	654.6184	369.3516|-FA 17:1(+OH)-Cholesterol(35)	[M+NH4]1+	1	11.6			SwissLipids	2020/04/02	MSI:2					12390.806818181818	4777.931935779484	509.3292557032672	17666	16244	11216	11030	21919	18392	9898	11706	16513	11936	10390	10713	6240	4624	5386	7696	8477	10714	10115	10153	11588	10943	10661	9503	7249	6802	10817	9147	10733	16348	11482	11634	8465	8865	5490	5606	10294	8003	6078	6409	6845	16129	16186	14425	15773	20713	18565	8207	15842	9537	9358	15120	11948	10097	10740	8969	17751	19065	15157	12944	11188	12100	13936	7674	13878	12350	13979	13232	18979	21489	15921	15671	22423	26835	4218	4980	7528	6616	14742	15817	10543	12180	12770	11659	20012	22175	19855	17125
				CE 18:0	670.6497	369.3516|-FA 18:0(+HO)-Cholesterol(35)	[M+NH4]1+	1	12.1			SwissLipids	2020/04/02	MSI:2				SLM:000500352	30003.397727272728	11773.398305824066	1255.0484763708105	31558	29355	34948	37817	46055	41906	40410	47770	40061	27609	42669	48237	26211	13882	9441	14136	22965	30249	34253	30711	22218	18194	18677	21076	13719	15309	15790	15172	36116	48903	16895	16701	22262	21883	19886	21277	16849	13028	10016	9968	12165	17727	21552	25988	32552	35917	37645	31244	34902	36743	40297	26485	21745	47452	45124	52454	33334	34345	41747	39743	40772	47472	35047	12155	32979	36754	35327	36169	36082	42847	54493	63745	35708	27518	11343	15425	19305	25786	29961	32379	27506	31029	28089	30292	30489	33509	37746	37029
				CE 18:1	668.634	369.3516|-FA 18:1(+HO)-Cholesterol(35)	[M+NH4]1+	1	11.88			SwissLipids	2020/04/02	MSI:2				SLM:000500351	2075526.2386363635	590013.4495768212	62895.64505461155	2147865	2290440	2204874	2335140	2857240	3198397	2183734	2118189	2365737	1908310	2696734	2678260	1798650	1025437	1092930	1685427	2122380	2662639	1751245	1488053	1960422	1687475	1976298	2264312	1780074	1738822	1908825	1643265	2802519	3603968	1285217	1310977	1741402	1456273	1579515	1608230	1638759	1320861	931609	636800	1126047	1777060	1676482	2667872	2849796	2611234	2592112	2097695	2165089	2075695	1912617	2150771	1880779	2660257	2557225	2733364	2476038	2225403	2612338	2503369	1808217	1859482	2315208	1156354	2323754	2486098	2808890	2568626	2410735	2732745	3201961	3275307	2347041	2185942	828164	1242112	1736195	1639787	1906302	1905703	1714477	1826260	1707000	1660050	1994908	2310501	2682731	3173212
				CE 18:2	666.6184	369.3516|-FA 18:2(+HO)-Cholesterol(35)	[M+NH4]1+	1	11.65			SwissLipids	2020/04/02	MSI:2				SLM:000500350	16690948.761363637	4510798.588006675	480852.7451494496	15115087	16141222	13194126	14091429	23815798	22682010	17601458	19079898	25621150	19710076	19615234	22358644	14365869	8584216	10178370	15485586	16402531	17620474	16262480	17794334	20196882	20267288	13983920	16430111	14164934	16263801	13396762	12520364	21795510	24875064	9800143	9798469	14682686	13059228	13510448	12456269	13134490	10884329	6442110	5221822	8141102	13677742	15414638	19099050	23682472	17619620	16859686	12200881	21882238	15721168	19032410	19586268	16716528	21102804	18293616	17765854	22238704	25536504	20198606	21183476	19169582	18814094	22772702	12386790	18249002	20245942	20589550	19675038	18309000	20692110	22875612	23391722	17743324	18210242	8828509	9585154	13566384	14427423	18133622	16705488	12498069	13760325	10390268	12484710	13884011	16098751	20213444	20544634
				CE 18:3	664.6027	369.3516|-FA 18:3(+HO)-Cholesterol(35)	[M+NH4]1+	1	11.43			SwissLipids	2020/04/02	MSI:2				SLM:000500349	610162.6818181818	203601.02685769243	21703.94238839895	791862	811039	317091	322813	1001990	1176565	400308	494739	914962	761335	472256	524521	367885	285955	475757	627097	470496	547609	731416	686144	685017	788148	376536	383428	508385	467222	543061	484264	493278	536840	279450	289298	437383	458038	456286	466905	658315	554784	306837	388902	366103	655477	804197	728621	894047	813639	945454	292649	917155	390654	536630	816815	695563	504104	626713	612026	906992	870239	663119	637351	828715	735003	726589	402333	532838	538414	859662	760614	801657	964069	581645	688853	542309	533803	299988	398203	435271	457898	834543	909866	496664	559014	519595	518226	753740	852920	891405	848714
				CE 20:1	696.6653	369.3516|-FA 20:1(+HO)-Cholesterol(35)	[M+NH4]1+	1	12.1			SwissLipids	2020/04/02	MSI:2				SLM:000500358	7026.840909090909	2940.478578947607	313.4560697299786	6893	6304	8639	9072	7680	9184	7044	7870	10789	7651	9546	10171	5691	2686	1844	2845	6239	7277	8305	7452	6019	5620	4468	5400	3714	4231	4600	4030	11732	16372	5297	4862	4532	4567	4825	4541	4306	2912	3444	1348	2148	3649	4231	7640	10209	7928	8390	8449	6440	6591	7559	9443	6978	9214	8778	7462	7649	7247	8975	8993	9535	8250	9151	3007	7560	7428	9962	8780	10370	9629	13983	16051	8972	8453	2222	2765	4461	5064	5006	6307	8816	8931	5377	5135	5981	6319	11265	11607
				CE 20:2	694.6497	369.3516|-FA 20:2(+HO)-Cholesterol(35)	[M+NH4]1+	1	11.9			SwissLipids	2020/04/02	MSI:2				SLM:000500357	28137.704545454544	8819.119732390074	940.1213222857316	33828	35106	19725	23676	34387	32950	26328	26986	35958	33502	27326	32299	22462	14083	10964	20412	31946	37849	34890	33446	31855	28441	23451	25606	26035	22910	25841	23656	47775	58551	21824	23419	25133	25474	19169	17828	18612	15809	12450	8913	12798	20316	21607	33990	35519	34717	43701	21579	32172	28729	26314	32271	30318	27929	31153	31136	29998	26315	31088	32688	33181	28829	34767	18817	29685	27354	36079	38532	34015	32326	48640	53502	32781	35588	13525	19636	18848	19637	22184	23323	21965	26320	23165	23885	25432	25713	37076	36100
